,micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
0,20S_468_Mar29_09.34.02,2017-12-15 14:19:52.661261,0.017259,17.535049,2.848446,motioncor/20S_468_Mar29_09.34.02.mrc,gctf/20S_468_Mar29_09.34.02.ctf,motioncor/20S_468_Mar29_09.34.02_DriftCorr.log,gctf/20S_468_Mar29_09.34.02_EPA.log,3.31541,1.06,2.81006,300.0,2.965106,3315.412109,2.62,102.106094,10000.0,17.54,0.1,/home/viktor/Downloads/input/20S_468_Mar29_09.34.02/20S_468_Mar29_09.34.02.ctf:mrc,/home/viktor/Downloads/input/20S_468_Mar29_09.34.02/20S_468_Mar29_09.34.02.mrc,gctf/20S_468_Mar29_09.34.02_gctf.log,2810.0551760000003,motioncor/20S_468_Mar29_09.34.02_DW.mrc,3.0627349999999995,0.50535
1,20S_467_Mar29_09.31.32,2017-12-15 14:20:22.987765,0.010293,19.446339000000002,2.699739,motioncor/20S_467_Mar29_09.31.32.mrc,gctf/20S_467_Mar29_09.31.32.ctf,motioncor/20S_467_Mar29_09.31.32_DriftCorr.log,gctf/20S_467_Mar29_09.31.32_EPA.log,3.83728,1.06,3.3047,300.0,3.210554,3837.276611,2.62,104.04447900000001,10000.0,19.45,0.1,/home/viktor/Downloads/input/20S_467_Mar29_09.31.32/20S_467_Mar29_09.31.32.ctf:mrc,/home/viktor/Downloads/input/20S_467_Mar29_09.31.32/20S_467_Mar29_09.31.32.mrc,gctf/20S_467_Mar29_09.31.32_gctf.log,3304.701416,motioncor/20S_467_Mar29_09.31.32_DW.mrc,3.57099,0.5325800000000003
2,20S_466_Mar29_09.29.06,2017-12-15 14:20:53.430644,0.028201,15.279167000000001,2.798892,motioncor/20S_466_Mar29_09.29.06.mrc,gctf/20S_466_Mar29_09.29.06.ctf,motioncor/20S_466_Mar29_09.29.06_DriftCorr.log,gctf/20S_466_Mar29_09.29.06_EPA.log,5.53613,1.06,4.97196,300.0,3.177674,5536.134277,2.62,96.057335,10000.0,15.28,0.1,/home/viktor/Downloads/input/20S_466_Mar29_09.29.06/20S_466_Mar29_09.29.06.ctf:mrc,/home/viktor/Downloads/input/20S_466_Mar29_09.29.06/20S_466_Mar29_09.29.06.mrc,gctf/20S_466_Mar29_09.29.06_gctf.log,4971.964355,motioncor/20S_466_Mar29_09.29.06_DW.mrc,5.254045,0.5641699999999998
3,20S_465_Mar29_09.26.48,2017-12-15 14:21:23.888570,0.016678,18.689491,2.56125,motioncor/20S_465_Mar29_09.26.48.mrc,gctf/20S_465_Mar29_09.26.48.ctf,motioncor/20S_465_Mar29_09.26.48_DriftCorr.log,gctf/20S_465_Mar29_09.26.48_EPA.log,3.6050199999999997,1.06,3.10385,300.0,3.189339,3605.015381,2.62,108.940491,10000.0,18.69,0.1,/home/viktor/Downloads/input/20S_465_Mar29_09.26.48/20S_465_Mar29_09.26.48.ctf:mrc,/home/viktor/Downloads/input/20S_465_Mar29_09.26.48/20S_465_Mar29_09.26.48.mrc,gctf/20S_465_Mar29_09.26.48_gctf.log,3103.846436,motioncor/20S_465_Mar29_09.26.48_DW.mrc,3.354435,0.5011700000000001
4,20S_464_Mar29_09.24.22,2017-12-15 14:21:54.335331,0.026056,17.317574,3.14546,motioncor/20S_464_Mar29_09.24.22.mrc,gctf/20S_464_Mar29_09.24.22.ctf,motioncor/20S_464_Mar29_09.24.22_DriftCorr.log,gctf/20S_464_Mar29_09.24.22_EPA.log,4.84882,1.06,4.3135900000000005,300.0,3.326095,4848.816406,2.62,110.135979,10000.0,17.32,0.1,/home/viktor/Downloads/input/20S_464_Mar29_09.24.22/20S_464_Mar29_09.24.22.ctf:mrc,/home/viktor/Downloads/input/20S_464_Mar29_09.24.22/20S_464_Mar29_09.24.22.mrc,gctf/20S_464_Mar29_09.24.22_gctf.log,4313.589844,motioncor/20S_464_Mar29_09.24.22_DW.mrc,4.581205000000001,0.5352299999999994
5,20S_463_Mar29_09.21.56,2017-12-15 14:22:24.629421,0.030961000000000002,17.744144,2.931093,motioncor/20S_463_Mar29_09.21.56.mrc,gctf/20S_463_Mar29_09.21.56.ctf,motioncor/20S_463_Mar29_09.21.56_DriftCorr.log,gctf/20S_463_Mar29_09.21.56_EPA.log,5.36083,1.06,4.80295,300.0,3.138642,5360.827147999999,2.62,103.609894,10000.0,17.74,0.1,/home/viktor/Downloads/input/20S_463_Mar29_09.21.56/20S_463_Mar29_09.21.56.ctf:mrc,/home/viktor/Downloads/input/20S_463_Mar29_09.21.56/20S_463_Mar29_09.21.56.mrc,gctf/20S_463_Mar29_09.21.56_gctf.log,4802.948242,motioncor/20S_463_Mar29_09.21.56_DW.mrc,5.0818900000000005,0.5578799999999999
6,20S_462_Mar29_09.19.31,2017-12-15 14:22:54.907669,0.010156,17.960007,3.076402,motioncor/20S_462_Mar29_09.19.31.mrc,gctf/20S_462_Mar29_09.19.31.ctf,motioncor/20S_462_Mar29_09.19.31_DriftCorr.log,gctf/20S_462_Mar29_09.19.31_EPA.log,3.61876,1.06,3.08854,300.0,3.22965,3618.758545,2.62,106.8302,10000.0,17.96,0.1,/home/viktor/Downloads/input/20S_462_Mar29_09.19.31/20S_462_Mar29_09.19.31.ctf:mrc,/home/viktor/Downloads/input/20S_462_Mar29_09.19.31/20S_462_Mar29_09.19.31.mrc,gctf/20S_462_Mar29_09.19.31_gctf.log,3088.54126,motioncor/20S_462_Mar29_09.19.31_DW.mrc,3.35365,0.5302200000000004
7,20S_461_Mar29_09.17.06,2017-12-15 14:23:25.205156,0.010920000000000001,16.313669,3.024986,motioncor/20S_461_Mar29_09.17.06.mrc,gctf/20S_461_Mar29_09.17.06.ctf,motioncor/20S_461_Mar29_09.17.06_DriftCorr.log,gctf/20S_461_Mar29_09.17.06_EPA.log,3.07995,1.06,2.6006299999999998,300.0,3.152308,3079.946045,2.62,101.739479,10000.0,16.31,0.1,/home/viktor/Downloads/input/20S_461_Mar29_09.17.06/20S_461_Mar29_09.17.06.ctf:mrc,/home/viktor/Downloads/input/20S_461_Mar29_09.17.06/20S_461_Mar29_09.17.06.mrc,gctf/20S_461_Mar29_09.17.06_gctf.log,2600.62915,motioncor/20S_461_Mar29_09.17.06_DW.mrc,2.84029,0.4793199999999995
8,20S_460_Mar29_09.14.41,2017-12-15 14:23:55.505411,0.0061979999999999995,12.454151,3.3210089999999997,motioncor/20S_460_Mar29_09.14.41.mrc,gctf/20S_460_Mar29_09.14.41.ctf,motioncor/20S_460_Mar29_09.14.41_DriftCorr.log,gctf/20S_460_Mar29_09.14.41_EPA.log,2.5712,1.06,2.05362,300.0,3.398967,2571.200195,2.62,117.756615,10000.0,12.45,0.1,/home/viktor/Downloads/input/20S_460_Mar29_09.14.41/20S_460_Mar29_09.14.41.ctf:mrc,/home/viktor/Downloads/input/20S_460_Mar29_09.14.41/20S_460_Mar29_09.14.41.mrc,gctf/20S_460_Mar29_09.14.41_gctf.log,2053.618164,motioncor/20S_460_Mar29_09.14.41_DW.mrc,2.31241,0.5175799999999997
9,20S_459_Mar29_09.12.16,2017-12-15 14:24:25.776111,0.014962999999999999,17.166321,2.699739,motioncor/20S_459_Mar29_09.12.16.mrc,gctf/20S_459_Mar29_09.12.16.ctf,motioncor/20S_459_Mar29_09.12.16_DriftCorr.log,gctf/20S_459_Mar29_09.12.16_EPA.log,3.2989800000000002,1.06,2.74568,300.0,3.168402,3298.9770510000003,2.62,97.124748,10000.0,17.17,0.1,/home/viktor/Downloads/input/20S_459_Mar29_09.12.16/20S_459_Mar29_09.12.16.ctf:mrc,/home/viktor/Downloads/input/20S_459_Mar29_09.12.16/20S_459_Mar29_09.12.16.mrc,gctf/20S_459_Mar29_09.12.16_gctf.log,2745.681152,motioncor/20S_459_Mar29_09.12.16_DW.mrc,3.02233,0.5533000000000001
