micrograph,created_at,_rlnCtfFigureOfMerit #11,_rlnDefocusAngle #5,_rlnCtfMaxResolution #12,motioncor_aligned_no_DW,gctf_ctf_fit,motioncor_log,gctf_epa_log,Defocus_U,_rlnDetectorPixelSize #10,Defocus_V,_rlnVoltage #6,Phase_shift,Resolution,_rlnDefocusU #3,_rlnSphericalAberration #7,_rlnPhaseShift #13,_rlnMagnification #9,Angle,_rlnAmplitudeContrast #8,_rlnCtfImage #2,_rlnMicrographName #1,gctf_log,_rlnDefocusV #4,motioncor_aligned_DW,Defocus,delta_Defocus
20S_468_Mar29_09.34.02,2017-12-15 14:19:52.661261,0.017259,17.535049,2.848446,motioncor/20S_468_Mar29_09.34.02.mrc,gctf/20S_468_Mar29_09.34.02.ctf,motioncor/20S_468_Mar29_09.34.02_DriftCorr.log,gctf/20S_468_Mar29_09.34.02_EPA.log,3.31541,1.060000,2.81006,300.000000,0.5672777777777778,2.965106,3315.412109,2.620000,102.106094,10000.000000,17.54,0.100000,/home/viktor/Downloads/input/20S_468_Mar29_09.34.02/20S_468_Mar29_09.34.02.ctf:mrc,/home/viktor/Downloads/input/20S_468_Mar29_09.34.02/20S_468_Mar29_09.34.02.mrc,gctf/20S_468_Mar29_09.34.02_gctf.log,2810.055176,motioncor/20S_468_Mar29_09.34.02_DW.mrc,3.0627349999999995,0.50535
20S_467_Mar29_09.31.32,2017-12-15 14:20:22.987765,0.010293,19.446339,2.699739,motioncor/20S_467_Mar29_09.31.32.mrc,gctf/20S_467_Mar29_09.31.32.ctf,motioncor/20S_467_Mar29_09.31.32_DriftCorr.log,gctf/20S_467_Mar29_09.31.32_EPA.log,3.8372800000000002,1.060000,3.3047,300.000000,0.5780000000000001,3.210554,3837.276611,2.620000,104.044479,10000.000000,19.45,0.100000,/home/viktor/Downloads/input/20S_467_Mar29_09.31.32/20S_467_Mar29_09.31.32.ctf:mrc,/home/viktor/Downloads/input/20S_467_Mar29_09.31.32/20S_467_Mar29_09.31.32.mrc,gctf/20S_467_Mar29_09.31.32_gctf.log,3304.701416,motioncor/20S_467_Mar29_09.31.32_DW.mrc,3.5709899999999997,0.5325800000000003
20S_466_Mar29_09.29.06,2017-12-15 14:20:53.430644,0.028201,15.279167,2.798892,motioncor/20S_466_Mar29_09.29.06.mrc,gctf/20S_466_Mar29_09.29.06.ctf,motioncor/20S_466_Mar29_09.29.06_DriftCorr.log,gctf/20S_466_Mar29_09.29.06_EPA.log,5.53613,1.060000,4.97196,300.000000,0.5336666666666667,3.177674,5536.134277,2.620000,96.057335,10000.000000,15.28,0.100000,/home/viktor/Downloads/input/20S_466_Mar29_09.29.06/20S_466_Mar29_09.29.06.ctf:mrc,/home/viktor/Downloads/input/20S_466_Mar29_09.29.06/20S_466_Mar29_09.29.06.mrc,gctf/20S_466_Mar29_09.29.06_gctf.log,4971.964355,motioncor/20S_466_Mar29_09.29.06_DW.mrc,5.254045,0.5641699999999998
20S_465_Mar29_09.26.48,2017-12-15 14:21:23.888570,0.016678,18.689491,2.561250,motioncor/20S_465_Mar29_09.26.48.mrc,gctf/20S_465_Mar29_09.26.48.ctf,motioncor/20S_465_Mar29_09.26.48_DriftCorr.log,gctf/20S_465_Mar29_09.26.48_EPA.log,3.60502,1.060000,3.10385,300.000000,0.6052222222222222,3.189339,3605.015381,2.620000,108.940491,10000.000000,18.69,0.100000,/home/viktor/Downloads/input/20S_465_Mar29_09.26.48/20S_465_Mar29_09.26.48.ctf:mrc,/home/viktor/Downloads/input/20S_465_Mar29_09.26.48/20S_465_Mar29_09.26.48.mrc,gctf/20S_465_Mar29_09.26.48_gctf.log,3103.846436,motioncor/20S_465_Mar29_09.26.48_DW.mrc,3.354435,0.5011700000000001
20S_464_Mar29_09.24.22,2017-12-15 14:21:54.335331,0.026056,17.317574,3.145460,motioncor/20S_464_Mar29_09.24.22.mrc,gctf/20S_464_Mar29_09.24.22.ctf,motioncor/20S_464_Mar29_09.24.22_DriftCorr.log,gctf/20S_464_Mar29_09.24.22_EPA.log,4.84882,1.060000,4.3135900000000005,300.000000,0.6118888888888889,3.3260949999999996,4848.816406,2.620000,110.135979,10000.000000,17.32,0.100000,/home/viktor/Downloads/input/20S_464_Mar29_09.24.22/20S_464_Mar29_09.24.22.ctf:mrc,/home/viktor/Downloads/input/20S_464_Mar29_09.24.22/20S_464_Mar29_09.24.22.mrc,gctf/20S_464_Mar29_09.24.22_gctf.log,4313.589844,motioncor/20S_464_Mar29_09.24.22_DW.mrc,4.581205,0.5352299999999994
20S_463_Mar29_09.21.56,2017-12-15 14:22:24.629421,0.030961,17.744144,2.931093,motioncor/20S_463_Mar29_09.21.56.mrc,gctf/20S_463_Mar29_09.21.56.ctf,motioncor/20S_463_Mar29_09.21.56_DriftCorr.log,gctf/20S_463_Mar29_09.21.56_EPA.log,5.36083,1.060000,4.80295,300.000000,0.5756111111111111,3.138642,5360.827148,2.620000,103.609894,10000.000000,17.74,0.100000,/home/viktor/Downloads/input/20S_463_Mar29_09.21.56/20S_463_Mar29_09.21.56.ctf:mrc,/home/viktor/Downloads/input/20S_463_Mar29_09.21.56/20S_463_Mar29_09.21.56.mrc,gctf/20S_463_Mar29_09.21.56_gctf.log,4802.948242,motioncor/20S_463_Mar29_09.21.56_DW.mrc,5.08189,0.5578799999999999
20S_462_Mar29_09.19.31,2017-12-15 14:22:54.907669,0.010156,17.960007,3.076402,motioncor/20S_462_Mar29_09.19.31.mrc,gctf/20S_462_Mar29_09.19.31.ctf,motioncor/20S_462_Mar29_09.19.31_DriftCorr.log,gctf/20S_462_Mar29_09.19.31_EPA.log,3.6187600000000004,1.060000,3.08854,300.000000,0.5935,3.22965,3618.758545,2.620000,106.830200,10000.000000,17.96,0.100000,/home/viktor/Downloads/input/20S_462_Mar29_09.19.31/20S_462_Mar29_09.19.31.ctf:mrc,/home/viktor/Downloads/input/20S_462_Mar29_09.19.31/20S_462_Mar29_09.19.31.mrc,gctf/20S_462_Mar29_09.19.31_gctf.log,3088.541260,motioncor/20S_462_Mar29_09.19.31_DW.mrc,3.35365,0.5302200000000004
20S_461_Mar29_09.17.06,2017-12-15 14:23:25.205156,0.010920,16.313669,3.024986,motioncor/20S_461_Mar29_09.17.06.mrc,gctf/20S_461_Mar29_09.17.06.ctf,motioncor/20S_461_Mar29_09.17.06_DriftCorr.log,gctf/20S_461_Mar29_09.17.06_EPA.log,3.0799499999999997,1.060000,2.60063,300.000000,0.5652222222222222,3.152308,3079.946045,2.620000,101.739479,10000.000000,16.31,0.100000,/home/viktor/Downloads/input/20S_461_Mar29_09.17.06/20S_461_Mar29_09.17.06.ctf:mrc,/home/viktor/Downloads/input/20S_461_Mar29_09.17.06/20S_461_Mar29_09.17.06.mrc,gctf/20S_461_Mar29_09.17.06_gctf.log,2600.629150,motioncor/20S_461_Mar29_09.17.06_DW.mrc,2.84029,0.4793199999999995
20S_460_Mar29_09.14.41,2017-12-15 14:23:55.505411,0.006198,12.454151,3.321009,motioncor/20S_460_Mar29_09.14.41.mrc,gctf/20S_460_Mar29_09.14.41.ctf,motioncor/20S_460_Mar29_09.14.41_DriftCorr.log,gctf/20S_460_Mar29_09.14.41_EPA.log,2.5711999999999997,1.060000,2.05362,300.000000,0.6542222222222223,3.398967,2571.200195,2.620000,117.756615,10000.000000,12.45,0.100000,/home/viktor/Downloads/input/20S_460_Mar29_09.14.41/20S_460_Mar29_09.14.41.ctf:mrc,/home/viktor/Downloads/input/20S_460_Mar29_09.14.41/20S_460_Mar29_09.14.41.mrc,gctf/20S_460_Mar29_09.14.41_gctf.log,2053.618164,motioncor/20S_460_Mar29_09.14.41_DW.mrc,2.31241,0.5175799999999997
20S_459_Mar29_09.12.16,2017-12-15 14:24:25.776111,0.014963,17.166321,2.699739,motioncor/20S_459_Mar29_09.12.16.mrc,gctf/20S_459_Mar29_09.12.16.ctf,motioncor/20S_459_Mar29_09.12.16_DriftCorr.log,gctf/20S_459_Mar29_09.12.16_EPA.log,3.29898,1.060000,2.7456799999999997,300.000000,0.5395555555555556,3.168402,3298.977051,2.620000,97.124748,10000.000000,17.17,0.100000,/home/viktor/Downloads/input/20S_459_Mar29_09.12.16/20S_459_Mar29_09.12.16.ctf:mrc,/home/viktor/Downloads/input/20S_459_Mar29_09.12.16/20S_459_Mar29_09.12.16.mrc,gctf/20S_459_Mar29_09.12.16_gctf.log,2745.681152,motioncor/20S_459_Mar29_09.12.16_DW.mrc,3.0223299999999997,0.5533000000000001
